Disease,Diet,Description
(vertigo) Paroymsal  Positional Vertigo,"Nuts, legumes, and spinach; they're rich in magnesium, which supports your hearing health.
Fruits like lemons and blueberries, which are high in vitamin C.
Water to stay well-hydrated.","Paroxysmal positional vertigo is a sudden, brief episode of dizziness triggered by specific head movements. It's the most common inner ear disorder causing vertigo. While there is no specific diet for PPV, some people find that avoiding caffeine and alcohol can help reduce symptoms because they can dehydrate you. Meniere's disease, which can cause PPV episodes, may benefit from a low-salt diet."
Acne,"Limit processed foods, sugary drinks, and refined carbohydratesChoose lean protein sourcesEat plenty of fruits, vegetables, and whole grainsDrink plenty of water","Acne is a common skin condition that involves the clogging of hair follicles by dead skin cells and oil. Although diet isn't considered a direct cause of acne, some foods can worsen breakouts, especially those high in refined carbohydrates and sugar. Here are some dietary tips that may help with acne:"
AIDS,"Eat lean protein such as skinless chicken, turkey, fish, egg whites, tofu and beans. Use cooking techniques that are low in fat, such as baking, broiling or sautéing. Focus on whole grain products such as whole wheat breads, pastas and cereals, brown rice, barley or quinoa.","Acquired immunodeficiency syndrome (AIDS), is an ongoing, also called chronic, condition. It's caused by the human immunodeficiency virus, also called HIV. HIV damages the immune system so that the body is less able to fight infection and disease."
Alcoholic hepatitis,"Avoid alcohol completely, Eat a balanced diet rich in fruits, vegetables, and whole grains. Choose lean protein sources. Limit processed foods, sugary drinks, and unhealthy fats","Alcoholic hepatitis is an inflammation of the liver caused by excessive alcohol consumption. In severe cases, it can lead to liver failure. There is no specific diet to cure alcoholic hepatitis, but a healthy diet is crucial for promoting liver healing and preventing further damage. Here are some dietary recommendations for people with alcoholic hepatitis:"
Allergy,"Diet should include anti-inflammatory foods like fruits, vegetables, and omega-3 fatty acids. Avoid known allergens.",An allergy is an immune system reaction to a substance in the environment that is harmless to most people. These substances are called allergens and can be found in many things
Arthritis,"There is no specific diet proven to cure or prevent arthritis, but some dietary changes may help manage symptoms. Here are some recommendations:Maintain a healthy weight: Excess weight puts stress on your joints, so losing weight if you are overweight or obese can help reduce pain and improve mobility. Eat a balanced diet that includes plenty of fruits, vegetables, and whole grains. These foods are rich in antioxidants and nutrients that can help reduce inflammation. Choose lean protein sources, such as fish, chicken, and beans.Limit unhealthy fats, such as saturated and trans fats, which can increase inflammation. Consider adding omega-3 fatty acids to your diet. Omega-3s have anti-inflammatory properties and may help reduce joint pain. Talk to your doctor about whether fish oil supplements might be beneficial.","Arthritis is an umbrella term for a group of conditions that cause joint pain, inflammation, and stiffness. There are over 100 different types of arthritis, with the most common being osteoarthritis and rheumatoid arthritis. Osteoarthritis is caused by wear and tear on the joints, while rheumatoid arthritis is an autoimmune disease that attacks the joints. Symptoms of arthritis can vary depending on the type, but may include joint pain, swelling, stiffness, and difficulty moving the joints."
Bronchial Asthma,"There is no specific diet for asthma, but some people find that certain foods can trigger their symptoms. If you have asthma, it's important to identify and avoid your triggers. Some common asthma triggers include:Dust mites, Pet dander, Pollen, Mold, Smoke,Pollution, Certain medications,such as aspirin and ibuprofen. Sulfites, which are found in some processed foods and wines, Food allergies","Bronchial asthma, often referred to simply as asthma, is a chronic inflammatory disease of the airways. It causes airways to become narrowed and inflamed, which leads to wheezing, coughing, shortness of breath, and chest tightness. Asthma attacks can be triggered by a variety of factors, including allergens, irritants, exercise, and respiratory infections."
Cervical spondylosis,"Vitamins A and C help reduce inflammation so one must consume lots of fresh fruits and veggies. Other nutrients important for reducing inflammation are omega-3 fatty acids and Vitamin E such as oilseeds, nuts and fish. One must avoid highly acidic foods like red meat, citrus fruits and even white potatoes.","Cervical spondylosis is a type of arthritis that affects the bones and joints in the neck (cervical spine). It is a degenerative condition that occurs as we age. The discs between the vertebrae in the neck can become dehydrated and lose height. The bones may also develop bone spurs (osteophytes). These changes can narrow the spinal canal and compress the spinal cord and nerves. Symptoms of cervical spondylosis can vary depending on the severity of the condition, but may include neck pain, stiffness, headaches, and radiating pain into the arms or shoulders."
Chicken pox,"Spicy foods: Peppers, hot sauces, salsa, garlic Acidic foods: Grapes, pineapples, tomatoes, citrus fruits and juices, pickled foods, coffee ","Chickenpox, also known as varicella, is a highly contagious viral infection that causes a rash with itchy blisters. It's caused by the varicella-zoster virus, which is part of the herpesvirus family. "
Chronic cholestasis,Chronic cholestasis: Diet should focus on reducing fat intake and promoting liver health. Include high-fiber foods and healthy fats like omega-3 fatty acids.,
Common Cold,"Common Cold: Diet should include immune-boosting foods like fruits, vegetables, and lean proteins. Stay hydrated and rest.",
Dengue,"Papaya leaves, Mix of herbs, Pomegranates, Turmeric, Orange, Non-vegetarian food, Fruits, Vegetables, Whole grains, Lean proteins, Healthy fats. You should also drink plenty of fluids, such as water, oral rehydration solutions (ORS), clear soups, and coconut water","Dengue viruses are spread to people through the bite of an infected Aedes species (Ae. aegypti or Ae. albopictus) mosquito. Almost half of the world's population, about 4 billion people, live in areas with a risk of dengue. Dengue is often a leading cause of illness in areas with risk."
Diabetes ,"Diabetes: Diet should focus on controlling blood sugar levels. Include whole grains, fruits, vegetables, lean proteins, and limit sugar and refined carbohydrates.",Diabetes is a chronic disease that occurs either when the pancreas does not produce enough insulin or when the body cannot effectively use the insulin it produces. Insulin is a hormone that regulates blood glucose.
Dimorphic hemmorhoids(piles),A high-fiber diet can help treat and prevent hemorrhoids ,"Piles rarely cause any serious problems but sometimes they can lead to the following. External piles (swellings that develop further down your anal canal, closer to your anus) can become inflamed and swollen; ulcers can also form on them. Skin tags can form when the inside of a pile shrinks back but the skin remains."
Drug Reaction,"Whole-grain flours, buckwheat, stone-ground cornmeal, and rye contain insoluble fiber. Cooked oats and barley contain soluble fiber.Legumes Beans, lentils, and nuts contain both soluble and insoluble fiber. Fruits and vegetablesThin-skinned fruits and vegetables, like apples, pears, plums, and potatoes, contain insoluble fiber. Brightly colored produce, like berries, grapes, tomatoes, and kale, are rich in flavonoids, which can help control hemorrhoid bleeding.Other foods Wholemeal bread and pasta, brown rice, beans, lentils and peas, nuts and seeds, and wholegrain breakfast cereals, such as muesli, oats and bran flakes.WaterDrinking 6 to 8 glasses of water a day flushes out toxins from the body and keeps the immune system in good working condition. Enough water makes your bowel movement smooth and regular. ",
Fungal infection,"Fungal infections are any disease or condition you get from a fungus. They usually affect your skin, hair, nails or mucous membranes but they can also infect your lungs or other parts of your body. You're at higher risk for fungal infections if you have a weakened immune system.",Apple Cider Vinegar. The acid and enzymes in apple cider vinegar have been shown to help to kill and get rid of excess yeast in the body.Green Veggies and Green Drinks. ... Coconut Oil. ...Stevia. ... Garlic. ... Ground Flaxseeds and Chia Seeds. ...Unsweetened Cranberry Juice. ...Kefir.
Gastroenteritis," slowly begin to eat bland, easy-to-digest foods, such as soda crackers, toast, gelatin, bananas, applesauce, rice and chicken. Stop eating if your nausea returns. Avoid milk and dairy products, caffeine, alcohol, nicotine, and fatty or highly seasoned foods for a few days","Gastroenteritis is inflammation of the stomach, small intestine, or large intestine, leading to a combination of abdominal pain, cramping, nausea, vomiting, and diarrhea. Acute gastroenteritis usually lasts fewer than 14 days"
GERD,"GERD (Gastroesophageal Reflux Disease): Diet should include low-acid foods, avoid spicy and acidic foods, and eat smaller meals. Avoid alcohol and caffeine.","Gastroesophageal reflux disease (GERD) is a common condition in which the stomach contents move up into the esophagus. Reflux becomes a disease when it causes frequent or severe symptoms or injury. Reflux may damage the esophagus, pharynx or respiratory tract"
Heart attack,"Heart attack: Diet should focus on heart health and include fruits, vegetables, whole grains, lean proteins, and healthy fats like omega-3 fatty acids. Limit saturated fats and sodium.","A heart attack, also called a myocardial infarction, happens when a part of the heart muscle doesn't get enough blood. The more time that passes without treatment to restore blood flow, the greater the damage to the heart muscle. Coronary artery disease (CAD) is the main cause of heart attack."
hepatitis A,"Hepatitis (A): Diet should focus on promoting liver health and include low-fat, high-fiber foods. Avoid alcohol and limit sodium intake.",Hepatitis A is a contagious liver infection caused by the hepatitis A virus (HAV). It's a type of hepatitis virus that causes inflammation of the liver and affects its function
